hex_id,population,pop_20_29,income_index_pln,n_obwody
21,50.0,12.0,3084.9,1
29,305.0,18.0,3096.6,1
30,511.0,57.0,3086.6,1
33,466.0,70.0,3096.6,1
34,353.0,43.0,3086.6,1
35,513.0,50.0,3086.5,1
36,502.0,54.0,3086.5,1
44,307.0,28.0,3045.1,1
52,244.0,32.0,3096.6,1
53,224.0,22.0,3096.6,1
56,812.0,81.0,3086.5594827586206,2
77,292.0,27.0,3086.6,1
78,429.0,34.0,3086.539160839161,2
79,1222.0,102.0,3089.1200490998367,4
80,1067.0,111.0,3086.525960637301,3
81,809.0,96.0,3086.6,2
88,246.0,35.0,3084.9,1
104,756.0,78.0,3091.581481481481,3
105,1351.0,132.0,3097.2244263508514,5
106,1652.0,248.0,3109.125363196126,4
107,408.0,43.0,3086.6,1
112,404.0,47.0,3084.9,1
118,152.0,25.0,3045.1,1
120,430.0,58.0,3045.1,1
122,392.0,35.0,3045.1,1
130,468.0,64.0,3113.7,1
131,1112.0,108.0,3113.6999999999994,3
132,2622.0,258.0,3118.650114416476,8
133,538.0,44.0,3113.7000000000003,2
141,106.0,11.0,3084.9,1
151,381.0,39.0,3045.0999999999995,1
156,380.0,43.0,3113.7,1
157,559.0,46.0,3121.5,2
158,238.0,59.0,3121.5,1
161,394.0,30.0,3113.6999999999994,1
165,523.0,46.0,3084.9,1
172,237.0,22.0,3045.1,1
192,415.0,38.0,3084.9,1
194,277.0,36.0,3084.9,1
197,451.0,43.0,3045.1,1
198,116.0,14.0,3045.1,1
199,916.0,90.0,3045.1,5
201,637.0,77.0,3089.6000000000004,2
202,590.0,69.0,3089.6,1
219,220.0,17.0,3084.9,1
224,1076.0,107.0,3100.2,2
240,848.0,104.0,3084.9,3
241,190.0,26.0,3084.9,1
245,799.0,81.0,3100.2,2
246,1203.0,101.0,3100.2,3
249,411.0,40.0,3089.5999999999995,1
250,421.0,48.0,3089.5999999999995,1
257,13.0,1.0,3098.5,1
263,403.0,53.0,3084.9,1
266,805.0,81.0,3100.2,3
267,386.0,16.0,3100.2,1
268,554.0,63.0,3089.6,1
281,303.0,22.0,3091.9,1
282,706.0,70.0,3091.9000000000005,3
283,816.0,135.0,3091.9000000000005,3
287,269.0,12.0,3100.2,1
290,620.0,55.0,3089.6,1
293,19.0,3.0,3098.5,1
303,489.0,88.0,3091.9,2
304,306.0,16.0,3091.9,1
308,818.0,80.0,3138.6242053789733,3
317,76.0,7.0,3098.5,1
328,305.0,24.0,3128.1,1
329,862.0,119.0,3149.2,3
330,1727.0,218.0,3149.2,5
331,975.0,312.0,3108.6,2
340,140.0,21.0,3098.5,1
345,192.0,16.0,3098.5,1
350,231.0,35.0,3094.0,1
354,545.0,89.0,3149.2,1
358,712.0,202.0,3144.0,2
360,592.0,178.0,3156.4,1
366,327.0,27.0,3098.5,2
373,309.0,33.0,3050.8,1
379,1075.0,143.0,3128.1,2
380,363.0,50.0,3128.1,1
381,685.0,74.0,3128.1,1
382,243.0,100.0,3144.0,1
383,582.0,78.0,3144.0,2
389,161.0,29.0,3063.1,1
390,1841.0,240.0,3081.2430744160783,10
391,548.0,62.0,3087.2591240875913,5
392,492.0,57.0,3098.5,5
398,162.0,9.0,3051.3,1
401,660.0,57.0,3094.0,2
402,220.0,26.0,3094.0,1
404,1341.0,131.0,3131.8718120805365,3
405,384.0,44.0,3128.1,1
406,191.0,23.0,3106.7,1
407,279.0,41.0,3144.0,1
408,1711.0,335.0,3128.4911747516076,5
409,581.0,124.0,3144.0,2
410,1268.0,175.0,3125.1612776025236,4
414,375.0,52.0,3063.1,3
415,902.0,133.0,3081.6813747228384,4
416,181.0,51.0,3098.5,1
417,1543.0,155.0,3073.952041477641,13
418,953.0,125.0,3077.605771248688,8
419,80.0,0.0,3072.1,1
423,1398.0,129.0,3051.3,7
424,2031.0,186.0,3050.9078286558347,10
425,132.0,23.0,3050.8,1
426,321.0,41.0,3094.0,1
429,451.0,69.0,3075.3,1
430,3057.0,308.0,3124.3915276414787,11
431,1610.0,215.0,3111.1139751552796,8
432,886.0,149.0,3106.7000000000003,4
433,900.0,148.0,3136.659333333333,3
434,1869.0,390.0,3153.918673087213,6
435,1266.0,331.0,3137.9297788309636,5
436,1484.0,285.0,3124.6287735849055,5
437,602.0,57.0,3129.4,2
438,1491.0,242.0,3060.2373574782023,11
439,1682.0,238.0,3058.0,12
440,660.0,143.0,3083.141666666667,5
441,1622.0,201.0,3074.186806411837,13
442,1528.0,152.0,3081.626963350786,10
443,724.0,100.0,3083.1,5
444,750.0,178.0,3100.3373333333334,9
445,276.0,22.0,3075.0,2
446,679.0,89.0,3075.0,3
447,172.0,18.0,3075.0,2
448,694.0,90.0,3051.3,4
449,534.0,61.0,3050.9498127340826,3
450,134.0,17.0,3094.0,1
451,605.0,76.0,3094.0,2
452,308.0,15.0,3094.0,1
453,1097.0,190.0,3077.115314494075,4
454,2368.0,318.0,3115.3141891891887,8
455,261.0,26.0,3127.7,1
456,1943.0,260.0,3107.8793103448274,8
457,996.0,144.0,3108.5999999999995,3
458,1450.0,300.0,3154.3304827586207,4
459,1624.0,393.0,3156.4000000000005,6
460,319.0,28.0,3119.9,1
461,1246.0,104.0,3109.4,3
462,1409.0,176.0,3119.449680624556,6
465,631.0,75.0,3055.5652931854197,7
466,3806.0,531.0,3055.7594587493427,14
467,986.0,94.0,3063.3415821501017,5
468,755.0,84.0,3098.158013245033,7
469,658.0,94.0,3092.4677811550155,2
470,443.0,74.0,3069.0999999999995,3
471,252.0,33.0,3106.0,1
472,320.0,32.0,3075.0,2
473,1523.0,208.0,3075.0,10
474,398.0,41.0,3075.0,2
475,245.0,34.0,3060.6,1
476,165.0,29.0,3060.6,1
477,40.0,10.0,3116.6,1
479,482.0,39.0,3064.1535269709543,3
480,1672.0,155.0,3072.5822368421054,9
481,2030.0,264.0,3087.715763546798,8
482,863.0,113.0,3127.6999999999994,2
483,438.0,43.0,3143.0,1
485,217.0,60.0,3091.9,1
486,756.0,93.0,3064.7,2
487,448.0,48.0,3064.7,1
488,2034.0,187.0,3118.6266470009837,6
489,1159.0,152.0,3126.1459016393446,3
491,381.0,26.0,3127.3,1
494,3384.0,464.0,3062.847547281324,12
495,3773.0,508.0,3060.3082162735227,9
496,2291.0,268.0,3089.030903535575,14
497,1916.0,275.0,3100.0540187891434,11
498,3671.0,562.0,3101.209833832743,18
499,1866.0,321.0,3079.380225080386,12
500,119.0,14.0,3101.1,1
501,173.0,24.0,3099.6000000000004,2
502,2373.0,293.0,3083.3211546565526,17
503,1271.0,133.0,3069.469472856019,7
504,1689.0,258.0,3081.2326228537595,12
507,646.0,95.0,3116.6000000000004,2
508,3587.0,523.0,3109.1384443824923,18
509,3740.0,443.0,3059.9846791443847,21
510,1533.0,254.0,3117.6215264187867,5
511,226.0,12.0,3143.0,1
513,864.0,239.0,3120.4,3
514,1051.0,131.0,3097.464414843007,4
515,2555.0,335.0,3099.84469667319,8
516,806.0,132.0,3117.4,2
517,2367.0,279.0,3101.6399239543725,7
518,766.0,91.0,3113.0135770234992,2
520,620.0,70.0,3127.3,2
523,724.0,101.0,3062.4,6
524,1145.0,174.0,3062.73711790393,8
525,2514.0,408.0,3069.63830548926,13
526,2055.0,302.0,3075.938199513382,12
527,2138.0,340.0,3076.5458840037413,13
528,2138.0,528.0,3101.1000000000004,13
529,437.0,94.0,3067.1846681922198,2
530,2028.0,291.0,3066.5047337278106,6
531,959.0,146.0,3099.6,6
532,2181.0,338.0,3099.9302613480063,12
533,2005.0,315.0,3091.5737157107237,13
534,487.0,50.0,3073.413141683778,3
535,191.0,37.0,3080.1,1
537,345.0,32.0,3116.6,2
538,2238.0,505.0,3095.9151027703306,11
539,312.0,23.0,3047.0,1
540,4166.0,888.0,3127.179164666347,14
541,1093.0,120.0,3124.6181152790487,3
542,566.0,114.0,3120.3999999999996,2
543,847.0,137.0,3110.971782762692,2
544,1629.0,198.0,3087.384837323511,5
545,2640.0,370.0,3100.88018939394,7
546,641.0,95.0,3114.4046801872078,2
547,204.0,26.0,3117.4,1
548,226.0,89.0,3129.4,1
549,1309.0,167.0,3127.3,4
550,1077.0,106.0,3127.2999999999997,3
552,161.0,20.0,3062.4,2
553,0.0,0.0,,1
554,2051.0,327.0,3070.032130667967,14
555,4659.0,618.0,3045.4007083065035,12
556,4722.0,701.0,3081.8330368487927,7
557,2663.0,382.0,3046.5372512204276,7
558,2536.0,400.0,3031.545307570978,5
559,3243.0,322.0,3051.419426456984,8
560,2171.0,307.0,3064.605251036389,6
561,734.0,106.0,3078.0470027247957,3
562,1165.0,279.0,3095.054849785408,6
563,1642.0,198.0,3083.7705237515224,12
565,271.0,29.0,3073.0,1
566,873.0,87.0,3080.5099656357393,3
567,2741.0,310.0,3068.1527544691717,19
569,940.0,301.0,3081.9310638297875,4
570,86.0,9.0,3094.0,1
571,552.0,79.0,3120.4,2
572,304.0,39.0,3091.9,1
573,496.0,72.0,3084.9,2
