hex_id,population,pop_20_29,income_index_pln,n_obwody
11,308.0,40.0,2976.5,1
26,312.0,23.0,2976.5,1
28,200.0,16.0,2976.5,1
29,377.0,47.0,3020.7,1
31,48.0,3.0,3020.6999999999994,1
36,287.0,36.0,2964.0,1
41,522.0,59.0,3013.4,1
46,525.0,47.0,2994.6851428571426,2
59,204.0,12.0,3013.4,1
60,289.0,21.0,3013.4000000000005,2
61,550.0,58.0,3013.4,1
67,234.0,28.0,3020.7,1
71,9.0,0.0,2964.0,1
73,296.0,20.0,2964.0,1
75,546.0,58.0,2964.0,1
77,557.0,69.0,3077.8,1
79,259.0,18.0,3013.4,1
87,394.0,57.0,3020.6999999999994,1
95,366.0,48.0,2964.0,1
101,405.0,37.0,3013.4,1
102,256.0,22.0,3013.4,2
104,100.0,6.0,3034.4,1
106,214.0,15.0,2976.5,1
108,511.0,44.0,2976.5,1
110,268.0,18.0,3020.7,1
114,287.0,32.0,3047.9,1
116,238.0,30.0,2964.0,1
119,513.0,54.0,3077.8,1
136,1054.0,149.0,3047.8999999999996,4
137,361.0,45.0,3074.8,2
138,198.0,14.0,3047.9000000000005,1
140,331.0,33.0,3077.8,1
148,186.0,23.0,3034.4,1
150,589.0,55.0,3034.4,1
156,182.0,13.0,3020.7000000000003,1
160,898.0,113.0,3074.7999999999997,4
161,402.0,38.0,3074.8,2
163,347.0,17.0,3077.8,1
164,765.0,73.0,3077.8,3
167,17.0,0.0,3083.2,1
174,426.0,41.0,3034.4000000000005,1
185,113.0,10.0,3074.8,1
186,286.0,37.0,3074.8,1
187,285.0,23.0,3074.8,1
189,324.0,27.0,3083.2,1
190,294.0,22.0,3083.2,1
196,236.0,30.0,3034.4,1
197,298.0,36.0,3034.4,1
200,248.0,16.0,3048.1,1
202,173.0,18.0,3016.1,1
204,410.0,42.0,3016.1,1
206,409.0,36.0,3015.1,1
207,451.0,45.0,3015.1,1
217,295.0,29.0,3077.8,1
218,406.0,37.0,3083.2,1
219,253.0,22.0,3083.2,1
224,319.0,21.0,3034.4,1
230,638.0,74.0,3016.1,1
241,639.0,133.0,3059.5,1
242,375.0,32.0,3059.5,1
243,381.0,36.0,3059.5,1
244,176.0,15.0,3084.0,1
246,243.0,59.0,3074.8,1
247,300.0,24.0,3081.9,1
248,372.0,43.0,3081.9,1
249,685.0,66.0,3083.2,2
250,288.0,27.0,3083.2,1
252,358.0,39.0,3094.3,1
253,122.0,13.0,3077.4,1
255,311.0,29.0,3077.4,1
256,187.0,21.0,3034.4,1
259,219.0,18.0,3048.1,1
261,608.0,41.0,3048.1,1
262,599.0,58.0,3080.4,1
263,460.0,54.0,3016.1,1
266,405.0,56.0,3015.1,1
268,252.0,28.0,3015.1,1
270,493.0,52.0,3056.5,1
276,628.0,68.0,3059.5,2
277,134.0,9.0,3059.5,1
278,598.0,72.0,3084.0,1
279,433.0,74.0,3084.0,2
280,168.0,16.0,3081.9,1
281,454.0,80.0,3081.9,2
283,274.0,35.0,3094.3,1
284,309.0,31.0,3094.3,1
286,301.0,30.0,3077.4,1
287,229.0,27.0,3077.4,1
288,203.0,22.0,3077.4000000000005,1
290,242.0,26.0,3065.9,1
291,287.0,26.0,3048.1,1
295,395.0,53.0,3080.4,1
296,527.0,51.0,3016.1,2
298,442.0,50.0,3016.1,1
307,325.0,33.0,2725.6,1
310,352.0,33.0,3115.4,1
312,336.0,39.0,3059.5,1
313,453.0,49.0,3101.8476821192053,2
314,1272.0,207.0,3115.4518867924526,5
315,3338.0,394.0,3059.715638106651,12
316,808.0,77.0,3081.9,3
317,774.0,68.0,3087.0586563307497,2
318,480.0,46.0,3094.3,2
319,179.0,20.0,3094.3,1
329,773.0,125.0,3073.5864165588614,2
330,932.0,189.0,3147.6000000000004,4
332,314.0,47.0,3113.0,1
335,237.0,27.0,3056.5,1
336,346.0,29.0,3056.5,1
337,580.0,36.0,3056.5,1
345,319.0,28.0,3115.4,1
346,1955.0,343.0,3115.4,8
347,228.0,29.0,3115.4,1
348,562.0,165.0,3130.2,2
349,1326.0,228.0,3062.1199095022625,8
350,1224.0,199.0,3056.8686274509805,7
351,681.0,118.0,3106.3737151248165,4
353,585.0,85.0,3094.3,2
354,249.0,32.0,3084.7,1
356,124.0,12.0,3089.0,1
359,234.0,25.0,3065.9,1
362,345.0,43.0,3048.1,1
363,332.0,87.0,3091.856024096385,2
364,2286.0,429.0,3144.1192475940506,9
365,669.0,134.0,3137.2,2
366,224.0,22.0,3113.0,2
368,938.0,315.0,3113.0,1
370,353.0,44.0,3056.5,1
372,385.0,34.0,3056.5,1
377,430.0,34.0,2725.6,1
380,176.0,62.0,3115.4,1
381,252.0,55.0,3132.4,1
382,1808.0,356.0,3115.400442477876,9
383,2975.0,653.0,3095.935193277311,20
384,1696.0,273.0,3090.1,9
385,116.0,21.0,3147.1,1
386,314.0,38.0,3147.1,1
387,447.0,52.0,3084.7,2
388,274.0,26.0,3084.7,1
391,81.0,9.0,3089.0,1
393,461.0,54.0,3065.9,1
394,596.0,65.0,3122.3,2
397,3117.0,613.0,3141.2086621751687,15
398,1120.0,243.0,3137.1999999999994,5
399,468.0,34.0,3113.0,3
400,1079.0,121.0,3113.0,4
406,175.0,16.0,2725.6,1
408,308.0,41.0,2725.6,1
409,447.0,75.0,3030.6183445190154,2
412,1893.0,190.0,3133.2000000000003,5
414,2027.0,481.0,3110.4447952639366,10
415,894.0,140.0,3082.2465324384784,5
416,2301.0,405.0,3091.014819643633,20
417,876.0,202.0,3095.2461187214612,7
418,765.0,288.0,3147.1,3
420,428.0,41.0,3084.7,2
421,95.0,7.0,3084.7,1
422,139.0,9.0,3089.0,1
425,452.0,56.0,3122.3,1
426,904.0,96.0,3122.3,3
428,1248.0,277.0,3127.186298076923,9
429,2697.0,511.0,3130.8530589543934,12
430,1079.0,222.0,3113.563577386469,3
431,90.0,11.0,3108.5,1
432,82.0,6.0,3113.0,1
433,2605.0,379.0,3107.060614203455,10
434,814.0,143.0,3096.9,3
436,440.0,51.0,3093.8,1
437,145.0,12.0,3093.8,1
441,480.0,38.0,2725.6,1
443,402.0,67.0,3077.0,2
445,1802.0,260.0,3133.2,6
446,2524.0,388.0,3028.2822900158476,14
447,2043.0,342.0,3059.5524229074895,11
448,1695.0,363.0,3124.3,8
449,2039.0,320.0,3064.823786169691,20
450,1660.0,643.0,3092.222891566265,12
451,703.0,152.0,3128.6000000000004,6
453,632.0,71.0,3087.373892405063,3
454,129.0,20.0,3089.0,1
455,296.0,29.0,3034.0,2
457,149.0,23.0,3034.0,1
459,237.0,46.0,3055.2,1
460,3213.0,690.0,3100.566760037349,15
461,2374.0,576.0,3095.875063184499,13
462,1344.0,146.0,3113.8678571428572,6
463,1146.0,134.0,3103.706457242583,7
464,548.0,89.0,3079.5999999999995,3
465,2337.0,277.0,3075.09080017116,10
466,1709.0,163.0,3090.1109420713865,6
467,481.0,48.0,3093.8,1
468,1394.0,200.0,3093.8,5
469,1114.0,119.0,3093.8,2
473,297.0,41.0,3077.0,1
474,343.0,45.0,3077.0,1
475,306.0,35.0,3077.0,1
476,2001.0,312.0,3036.999700149925,10
477,3291.0,474.0,3044.9984807049527,19
478,373.0,132.0,3089.8,2
479,1084.0,155.0,3087.1965867158674,10
480,2961.0,568.0,3087.382708544411,29
481,522.0,121.0,3096.3741379310345,6
482,40.0,12.0,3128.6,1
483,218.0,24.0,3074.5,3
484,817.0,98.0,3089.0,6
485,231.0,44.0,3058.9194805194807,2
486,1297.0,169.0,3061.657825751735,7
488,159.0,13.0,3107.9,1
489,764.0,143.0,3086.8,3
490,3634.0,453.0,3042.350605393506,15
491,2272.0,325.0,3085.7591549295776,8
492,874.0,126.0,3090.1400457665904,3
