hex_id,population,income_index_pln,fam_pct_matki_samotne,n_obwody
0,1062.0,3124.8999999999996,15.99190207156309,3
1,358.0,3124.9,13.5,1
4,337.0,3124.9,19.2,1
9,251.0,3124.9,15.6,1
28,503.0,3056.4,18.1,1
31,403.0,3102.4,12.5,1
33,363.0,3055.6,14.5,1
44,121.0,3056.4,14.3,1
46,342.0,3056.4,15.3,1
49,294.0,3056.4,25.9,1
60,144.0,3020.4,25.0,1
61,72.0,3020.4,21.7,1
74,377.0,3056.4,13.2,1
75,3.0,3056.4,,1
77,291.0,3056.4,12.9,1
79,273.0,3102.4,25.6,1
91,319.0,3020.4,14.9,1
94,234.0,2991.5,16.7,1
102,571.0,3056.3999999999996,14.163922942206655,2
103,595.0,3056.4,19.583361344537813,2
105,643.0,3053.9603421461898,19.398444790046657,2
106,528.0,3049.9553030303027,12.561363636363636,2
108,659.0,3102.4,14.150075872534142,2
111,185.0,3055.6,22.2,1
113,186.0,3055.6,17.2,1
128,293.0,3056.4,17.0,1
131,159.0,3025.5,26.100000000000005,1
133,172.0,3056.4,25.0,1
134,1467.0,3050.1,24.857123381049764,5
135,1622.0,3043.275092478422,22.451109741060417,12
136,1334.0,3049.9,19.235382308845576,7
138,411.0,3102.4000000000005,10.8,1
139,484.0,3102.4,10.0,1
148,74.0,3020.4,10.5,1
151,185.0,3020.4,21.4,1
165,44.0,3056.4,42.9,1
166,2270.0,3041.82013215859,27.103480176211452,14
167,4115.0,3040.4155285540705,29.73370595382746,26
168,1323.0,3070.2761904761905,23.790551776266064,6
169,385.0,3102.4,17.5,1
170,320.0,3055.6,16.0,1
174,263.0,3055.6,18.7,1
179,1210.0,3085.8,15.591157024793388,3
180,213.0,3085.8,14.099999999999998,1
186,197.0,2991.5,16.9,1
199,3134.0,3037.598851308232,30.258296107211233,21
200,1382.0,3034.41505065123,24.72814761215629,10
202,681.0,3055.6000000000004,16.398384728340673,2
203,413.0,3055.6,14.384745762711864,2
204,335.0,3055.6,22.4,1
209,286.0,3065.3,17.6,1
210,459.0,3067.1,28.863398692810456,2
211,1692.0,3071.68256501182,22.657505910165483,9
212,807.0,3085.8,13.64349442379182,2
213,381.0,3085.8,19.1,1
215,85.0,3020.4,14.8,1
226,118.0,3025.5,33.3,1
227,77.0,3014.2,5.0,1
231,2961.0,3038.63177980412,23.81094224924012,17
232,1991.0,3037.782420894023,30.491361125062785,14
233,202.0,3102.4,11.1,1
234,609.0,3055.6,25.789819376026273,3
235,589.0,3062.816298811545,22.031578947368423,3
238,132.0,3055.6,13.5,1
239,164.0,3065.3,19.1,1
241,270.0,3052.5,27.5,1
242,3683.0,3055.176187890306,23.733315232147707,19
243,3038.0,3044.426728110599,22.683048057932847,15
244,1157.0,3043.106828003458,26.547191011235956,6
245,0.0,,,1
251,93.0,2991.5,10.7,1
255,62.0,3025.5,26.3,1
260,101.0,3014.1999999999994,32.3,1
261,2260.0,3040.397168141593,25.608185840707964,13
262,5007.0,3038.109846215299,29.428140603155583,34
263,1670.0,3051.0124550898204,19.010059880239524,9
264,805.0,3087.0832298136647,13.352049689440994,3
265,586.0,3072.3999999999996,23.152901023890784,3
266,277.0,3072.4,17.7,1
267,519.0,3065.2999999999997,21.59865125240848,3
272,3518.0,3059.2941728254686,23.464923251847644,19
273,3050.0,3047.957639344262,24.579081967213117,15
274,2531.0,3046.679336230739,24.536941920189648,13
282,117.0,2991.5,18.9,1
288,330.0,3025.5,22.4,1
291,239.0,3014.2,19.1,1
293,2380.0,3040.516806722689,32.460882352941184,18
294,1481.0,3033.1880486158,25.7949358541526,11
295,522.0,3072.3999999999996,15.8683908045977,2
296,438.0,3072.4000000000005,21.772602739726032,2
298,317.0,3065.3,17.7,1
299,276.0,3065.3,22.5,1
300,444.0,3065.3000000000006,19.072972972972973,2
303,4245.0,3048.4980683156655,26.79981154299176,17
304,2659.0,3038.4941707408802,24.628958254983075,13
305,3798.0,3037.703185887309,24.82361769352291,18
306,335.0,3116.0,11.6,1
308,0.0,,,1
310,8.0,2991.5,0.0,1
313,181.0,2991.5,22.2,1
319,287.0,3025.5,13.3,1
325,1355.0,3031.007306273063,33.117785977859775,12
326,403.0,3033.7712158808936,23.198511166253102,2
328,146.0,3072.4,41.0,1
329,451.0,3093.6,21.574944567627497,3
332,447.0,3065.3,22.976062639821027,2
333,185.0,3065.3,25.5,1
334,2243.0,3042.2028979045917,25.88319215336603,9
335,3558.0,3047.8441259134347,24.336312535132095,19
336,2899.0,3046.768195929631,29.287857882028284,16
337,2348.0,3082.5545144804087,20.4660136286201,8
338,381.0,3116.0,17.3,1
349,77.0,3025.5,29.200000000000003,1
350,145.0,3030.2,37.8,1
351,252.0,3073.0,20.3,1
352,340.0,3073.0,12.7,1
355,143.0,3014.2,41.5,1
356,957.0,3023.6482758620687,32.97011494252873,7
357,3157.0,3030.9401013620527,31.30864745011087,26
358,1354.0,3049.5,28.060930576070902,9
359,325.0,3093.6,18.04153846153846,2
360,879.0,3061.9287827076223,24.791581342434586,6
361,707.0,3052.6000000000004,25.6990099009901,4
363,304.0,3093.6,23.5,1
364,142.0,3048.4,37.1,1
365,784.0,3050.7357142857145,20.2125,5
366,3156.0,3059.3347908745245,26.975063371356146,16
367,3860.0,3043.2332901554405,24.096424870466322,17
368,1420.0,3065.1816197183093,20.05330985915493,9
369,200.0,3075.1,26.3,1
370,194.0,3116.0,8.9,1
372,207.0,3037.1999999999994,32.8,1
375,102.0,2991.5,20.7,1
377,179.0,2991.5,17.0,1
379,66.0,3030.2,33.3,1
380,314.0,3030.2,31.74649681528663,2
381,2547.0,3057.9603455045153,24.3691794267766,12
382,673.0,3074.0044576523032,21.3554234769688,3
383,182.0,3077.0,19.7,1
384,369.0,3077.0,20.87208672086721,3
385,5.0,3014.2,50.0,1
387,1559.0,3032.316741500962,29.634830019243108,10
388,1819.0,3049.770148433205,26.127658402203856,11
389,627.0,3049.5,23.701116427432215,3
390,160.0,3044.9,22.35,2
391,747.0,3054.371084337349,29.466265060240964,6
395,1792.0,3048.5787946428572,30.242578124999998,10
396,1869.0,3050.299036918139,24.989620117710007,10
397,1997.0,3053.598547821733,25.302754131196796,12
398,610.0,3049.634098360656,29.48934426229508,4
401,304.0,3041.7,26.1,1
403,287.0,3037.2,18.5,1
404,311.0,3054.0,19.4,1
408,233.0,3058.7,15.9,1
413,2146.0,3031.5793569431503,22.391053122087605,10
414,2382.0,3051.8253148614613,23.10083963056255,11
415,159.0,3041.9,14.300000000000002,1
416,608.0,3075.960361842105,17.696710526315787,3
419,213.0,3046.7,22.587323943661975,2
420,1738.0,3050.9,25.612543153049483,9
421,3372.0,3049.9962040332143,28.884252669039146,27
422,1517.0,3043.858866183257,31.565721819380354,9
423,3032.0,3048.9520778364113,28.691919525065966,20
424,1498.0,3054.3914552736987,28.54072096128171,13
425,107.0,3083.6,38.5,1
428,703.0,3049.3000000000006,23.134281650071127,5
429,2963.0,3059.0867026662168,29.03543705703679,19
430,1478.0,3060.3999999999996,25.21982408660352,7
431,106.0,3116.0,27.3,1
433,296.0,3041.7,25.3,1
434,340.0,3045.6,13.7,1
435,430.0,3041.966511627907,17.765116279069765,2
436,315.0,3037.2,29.12857142857143,2
437,994.0,3054.0,22.4046277665996,6
438,342.0,3046.0,19.110526315789475,2
439,788.0,3058.7000000000003,21.841878172588835,3
440,379.0,3058.6999999999994,18.91741424802111,2
445,989.0,3044.6,18.418503538928213,4
446,1982.0,3047.1123612512615,20.53632694248234,8
447,1952.0,3042.364959016393,25.45993852459016,10
448,797.0,3050.7193224592224,22.27741530740276,4
449,542.0,3074.9,16.64963099630996,2
450,1650.0,3074.9,23.47472727272727,7
451,683.0,3051.5,27.535871156661788,5
452,1745.0,3056.110888252149,26.31919770773639,13
453,1340.0,3055.9018656716416,29.96335820895522,9
454,3249.0,3047.825638658049,32.69455216989843,25
455,2537.0,3059.283760346866,26.872447772960186,19
456,2405.0,3037.838461538461,31.267151767151766,15
457,1745.0,3028.981260744986,32.53289398280802,13
458,842.0,3066.2,24.35344418052257,6
459,311.0,3083.5999999999995,45.049839228295816,2
460,770.0,3097.2,28.326753246753245,5
462,1196.0,3050.58076923077,22.711872909698997,6
465,336.0,3116.0,10.9,1
466,885.0,3116.0,8.317062146892656,3
467,572.0,3041.7,14.306993006993007,2
468,774.0,3045.6,18.82622739018088,4
469,929.0,3037.2,14.880086114101182,3
470,281.0,3037.2,28.25800711743772,3
471,726.0,3037.3292011019284,32.56845730027548,5
472,318.0,3035.0,27.513207547169813,2
473,70.0,3034.4,25.0,1
474,215.0,3058.7,20.3,1
475,304.0,3058.7,24.7,1
476,339.0,3058.7,12.0,1
480,535.0,3044.6,22.014205607476637,2
481,2346.0,3048.5578431372546,20.34833759590793,12
482,2349.0,3036.0758194976584,19.658322690506598,11
483,355.0,3055.5830985915495,23.677464788732394,3
485,1345.0,3074.9,16.683494423791824,6
486,2112.0,3051.9336647727273,28.398714897667777,14
487,3537.0,3059.2748657054,26.470568278201863,22
488,1577.0,3051.378503487635,31.889917564996836,13
489,3213.0,3040.804699657641,30.668783068783064,26
490,180.0,3045.3,39.2,1
491,144.0,3049.1,18.4,2
492,1823.0,3064.1645090510146,35.71404278661547,12
493,1841.0,3071.954481260185,31.791580662683327,14
494,1505.0,3087.031627906977,21.469634551495016,10
495,2153.0,3097.2,21.798188574082676,11
496,63.0,3110.1,33.3,1
497,253.0,3110.1,27.4,1
498,52.0,3035.5,31.199999999999996,1
499,92.0,3116.0,24.1,1
500,293.0,3116.0,7.900000000000001,1
501,262.0,3041.7,12.2,1
502,543.0,3043.1580110497234,21.649539594843464,2
503,181.0,3037.2,20.91878453038674,2
504,184.0,3037.2,24.5,1
505,273.0,3035.0,38.08571428571428,2
506,429.0,3034.3459207459205,31.63263403263403,3
507,458.0,3034.4,16.25589519650655,2
508,112.0,3034.4,28.6,1
516,1329.0,3018.2395033860043,23.300601956358165,7
517,3983.0,3037.514586994728,22.924654782827012,19
518,629.0,3054.011764705883,26.004769475357712,3
519,353.0,3062.2,33.59688385269122,2
520,63.0,3062.2,23.5,1
521,336.0,3054.2,24.875,2
522,3470.0,3048.42204610951,26.49720461095101,10
523,1840.0,3048.532010869565,28.061467391304344,9
524,3406.0,3034.5202583675864,34.39738696418086,29
525,1719.0,3048.419488074462,32.412507271669575,14
526,356.0,3065.5893258426963,39.886197183098595,4
527,4732.0,3050.034361792054,33.03873626373626,31
528,5054.0,3044.024079936684,33.352334784329244,34
529,3058.0,3057.5951275343355,36.88691955526488,26
530,1127.0,3078.5,37.8433007985803,7
531,366.0,3097.2,9.282786885245901,2
532,761.0,3110.0999999999995,32.700131406044676,5
533,398.0,3110.1,17.384924623115577,2
534,607.0,3028.0370675453046,36.1841845140033,6
535,1885.0,3029.920954907162,28.81183023872679,13
536,1204.0,3043.1175249169437,32.99426910299003,8
537,1250.0,3044.0,28.64752,7
538,693.0,3045.6,9.53809523809524,3
539,1070.0,3081.6,23.260747663551406,5
540,98.0,3081.6,20.0,1
541,653.0,3032.7000000000003,26.12633996937213,3
542,831.0,3033.557160048135,15.731889290012033,2
543,205.0,3034.4,23.0,1
544,179.0,3034.4,42.03296089385475,2
545,296.0,3046.7141891891893,20.03918918918919,2
550,366.0,3049.0999999999995,19.6,1
552,293.0,3015.1000000000004,27.922866894197952,2
553,353.0,3044.8,17.4,2
554,622.0,3062.2,21.55385852090032,2
556,449.0,3054.1999999999994,21.139198218262806,2
557,1787.0,3046.1453833240066,27.26569669837717,8
