hex_id,population,pop_20_29,income_index_pln,n_obwody
13,65.0,7.0,3111.2,1
21,392.0,30.0,3080.6,1
30,25.0,6.0,3047.8,1
36,775.0,75.0,3080.6,2
37,430.0,47.0,3080.6,1
38,0.0,0.0,,1
39,195.0,19.0,3111.2,1
43,334.0,42.0,3058.4,1
48,3.0,0.0,3047.8000000000006,1
53,0.0,0.0,,1
56,564.0,48.0,3080.6,1
57,281.0,22.0,3111.2,1
58,701.0,47.0,3111.2,1
59,1.0,0.0,3080.6,1
63,1160.0,110.0,3063.3,3
64,923.0,70.0,3059.716576381365,3
66,397.0,50.0,3054.5,1
70,239.0,15.0,3047.8,1
73,349.0,20.0,3047.7999999999997,1
74,266.0,16.0,3047.8,1
79,124.0,8.0,3111.2,1
81,741.0,62.0,3091.7497975708498,2
82,697.0,99.0,3111.2,3
83,1067.0,117.0,3113.36419868791,3
84,1739.0,177.0,3113.5,5
85,1681.0,203.0,3065.5694824509224,5
86,1139.0,119.0,3074.6,4
87,912.0,74.0,3033.6796052631576,3
88,464.0,29.0,3096.4,1
89,254.0,31.0,3096.4,1
91,243.0,23.0,3054.5,1
92,191.0,86.0,3063.5,1
98,267.0,20.0,3047.8,1
103,2311.0,181.0,3039.2017741237564,14
104,1219.0,108.0,3038.457670221493,6
105,445.0,71.0,3092.3,1
106,2350.0,309.0,3097.5753617021273,9
107,931.0,91.0,3089.5775510204085,3
108,2.0,0.0,3054.3,1
109,1318.0,128.0,3086.0520485584216,4
110,2030.0,262.0,3072.4985221674874,5
111,796.0,68.0,3025.0,3
112,930.0,80.0,3059.074193548387,3
113,792.0,55.0,3096.3999999999996,3
114,297.0,24.0,3047.5,1
115,343.0,64.0,3047.5,1
116,1087.0,268.0,3102.360625574977,4
117,888.0,190.0,3104.0,3
125,0.0,0.0,,1
126,679.0,84.0,3034.3,3
127,4316.0,385.0,3040.9497914735866,21
128,299.0,29.0,3059.520735785953,3
129,499.0,37.0,3080.14128256513,2
130,2632.0,266.0,3082.2035714285716,11
131,1023.0,111.0,3053.9551319648094,5
132,0.0,0.0,,1
133,503.0,29.0,3066.7,3
134,764.0,60.0,3068.902486910995,3
135,486.0,33.0,3039.3999999999996,2
136,888.0,80.0,3039.4,3
137,919.0,76.0,3062.9841131664853,3
138,2485.0,235.0,3057.151106639839,10
139,368.0,38.0,3080.998641304348,2
140,0.0,0.0,,1
149,0.0,0.0,,1
150,679.0,62.0,3050.3,4
151,2499.0,325.0,3066.292116846739,14
152,2202.0,241.0,3044.6096730245235,10
153,2205.0,233.0,3053.3773242630386,10
154,1383.0,113.0,3058.247360809834,6
155,2977.0,266.0,3052.7486731609006,14
156,3449.0,308.0,3043.3435198608295,11
157,408.0,44.0,3048.423529411765,2
158,103.0,11.0,3039.4,1
160,275.0,23.0,3039.4,1
161,301.0,24.0,3104.0,1
162,313.0,37.0,3104.0,2
163,0.0,0.0,,1
164,0.0,0.0,,1
167,14.0,1.0,3047.8,1
171,40.0,5.0,3050.4,1
174,527.0,47.0,3085.6,2
175,318.0,20.0,3081.706289308176,2
176,934.0,59.0,3070.5,5
177,1292.0,86.0,3063.931424148607,5
178,1299.0,102.0,3062.418167821401,6
179,3249.0,365.0,3050.7908587257625,15
180,648.0,54.0,3044.6,3
181,1195.0,136.0,3028.7788284518824,5
182,3.0,0.0,3039.4,1
184,7.0,2.0,3104.0,1
185,252.0,29.0,3104.0,2
187,70.0,4.0,3027.0,1
188,5.0,0.0,3027.0,1
194,192.0,15.0,3081.9,1
195,561.0,32.0,3081.8999999999996,2
200,200.0,13.0,3085.6,1
201,949.0,66.0,3082.2904109589044,4
202,1453.0,132.0,3074.1245010323473,7
203,825.0,72.0,3069.296363636364,4
