city,resolution_m,category,mean_delta,hexagons_comparable,hexagons_zero_baseline
Gdańsk,250,school,-0.182,2153,448
Gdańsk,250,pharmacy,0.071,1974,627
Gdańsk,250,university,0.447,735,1866
Gdańsk,250,mall,0.06,1488,1113
Gdańsk,500,school,-0.249,652,216
Gdańsk,500,pharmacy,0.044,588,280
Gdańsk,500,university,0.394,191,677
Gdańsk,500,mall,0.011,424,444
Warszawa,500,school,1.483,1853,168
Warszawa,500,pharmacy,1.642,1813,208
Warszawa,500,university,0.196,519,1502
Warszawa,500,mall,0.246,1362,659
Poznań,250,school,1.066,2605,328
Poznań,250,pharmacy,1.433,2641,292
Poznań,250,university,0.144,1144,1789
Poznań,250,mall,0.286,1728,1205
Poznań,500,school,0.966,811,159
Poznań,500,pharmacy,1.338,829,141
Poznań,500,university,0.124,318,652
Poznań,500,mall,0.299,513,457
Kraków,250,school,-0.195,3724,562
Kraków,250,pharmacy,-0.351,3409,877
Kraków,250,university,-0.295,1511,2775
Kraków,250,mall,-0.081,2284,2002
Kraków,500,school,-0.261,1094,250
Kraków,500,pharmacy,-0.382,993,351
Kraków,500,university,-0.329,409,935
Kraków,500,mall,-0.102,631,713
Szczecin,250,school,0.769,1466,290
Szczecin,250,pharmacy,1.019,1535,221
Szczecin,250,university,0.778,690,1066
Szczecin,250,mall,0.161,1157,599
Szczecin,500,school,0.67,486,133
Szczecin,500,pharmacy,0.878,502,117
Szczecin,500,university,0.568,205,414
Szczecin,500,mall,0.176,356,263
Łódź,250,school,-0.122,3211,890
Łódź,250,pharmacy,-0.085,3220,881
Łódź,250,university,0.008,1035,3066
Łódź,250,mall,-0.113,1942,2159
Łódź,500,school,0.071,926,347
Łódź,500,pharmacy,0.159,906,367
Łódź,500,university,-0.016,279,994
Łódź,500,mall,-0.097,530,743
