city,resolution_m,mean_net_delta,hexagons_comparable,hexagons_net_zero,transfer_ring_dip,worst_ring_km,worst_ring_mean,inner_ring_mean,worst_minus_median_other
Gdańsk,250,0.155,2198,913,False,6-7,-0.949,2.063,-1.154
Gdańsk,500,-0.017,674,293,False,5-6,-1.306,-0.954,-1.51
Warszawa,500,3.449,1904,582,False,14-15,-0.043,8.735,-2.003
Poznań,250,2.843,2709,1010,False,8-9,-0.49,5.121,-0.628
Poznań,500,2.642,855,359,False,6-7,-0.737,6.504,-1.761
Kraków,250,-0.811,3850,2424,False,0-1,-3.068,-3.068,-3.03
Kraków,500,-0.947,1143,774,False,5-6,-1.307,0.333,-1.108
Szczecin,250,2.448,1615,658,False,6-7,-0.078,2.977,-1.774
Szczecin,500,2.074,540,245,False,14-15,-0.237,2.115,-2.196
Łódź,250,-0.3,3416,1500,True,2-3,-2.484,0.791,-2.594
Łódź,500,0.135,998,469,True,2-3,-2.0,1.482,-2.324
