city,window,traction,trips,late,late_pct,early,early_pct,unchanged,unchanged_pct,median_shift_s,mean_shift_s
Gdańsk,caly dzien,tram,1464,377,25.8,296,20.2,791,54.0,0,20
Gdańsk,caly dzien,autobus,5500,2862,52.0,518,9.4,2120,38.5,34,60
Gdańsk,szczyt 7-9,tram,186,40,21.5,56,30.1,90,48.4,-3,6
Gdańsk,szczyt 7-9,autobus,642,263,41.0,120,18.7,259,40.3,14,21
Warszawa,caly dzien,tram,5432,1407,25.9,929,17.1,3096,57.0,0,11
Warszawa,caly dzien,autobus,28267,9238,32.7,3879,13.7,15150,53.6,0,27
Warszawa,caly dzien,metro,4,0,0.0,0,0.0,4,100.0,0,0
Warszawa,caly dzien,kolej,284,0,0.0,0,0.0,284,100.0,0,0
Warszawa,szczyt 7-9,tram,701,144,20.5,217,31.0,340,48.5,-13,-3
Warszawa,szczyt 7-9,autobus,3256,618,19.0,1264,38.8,1374,42.2,-12,-12
Warszawa,szczyt 7-9,kolej,27,0,0.0,0,0.0,27,100.0,0,0
Poznań,caly dzien,tram,2529,333,13.2,616,24.4,1580,62.5,-1,-6
Poznań,caly dzien,autobus,8259,2039,24.7,1272,15.4,4948,59.9,0,10
Poznań,szczyt 7-9,tram,274,13,4.7,119,43.4,142,51.8,-24,-21
Poznań,szczyt 7-9,autobus,969,151,15.6,278,28.7,540,55.7,0,-9
Kraków,caly dzien,tram,2667,1502,56.3,43,1.6,1122,42.1,39,48
Kraków,caly dzien,autobus,11231,3522,31.4,260,2.3,7449,66.3,0,43
Kraków,szczyt 7-9,tram,334,155,46.4,8,2.4,171,51.2,25,37
Kraków,szczyt 7-9,autobus,1360,0,0.0,0,0.0,1360,100.0,0,0
Szczecin,caly dzien,tram,1495,178,11.9,381,25.5,936,62.6,-5,-8
Szczecin,caly dzien,autobus,5964,1475,24.7,620,10.4,3869,64.9,0,14
Szczecin,szczyt 7-9,tram,169,4,2.4,70,41.4,95,56.2,-27,-25
Szczecin,szczyt 7-9,autobus,731,74,10.1,183,25.0,474,64.8,-3,-10
Łódź,caly dzien,tram,3043,1060,34.8,276,9.1,1707,56.1,9,22
Łódź,caly dzien,autobus,6850,1641,24.0,1245,18.2,3964,57.9,0,13
Łódź,szczyt 7-9,tram,334,137,41.0,33,9.9,164,49.1,16,22
Łódź,szczyt 7-9,autobus,701,135,19.3,255,36.4,311,44.4,-12,-10
