city,resolution_m,metric,hex_total,comparable,no_baseline,gain,loss,unchanged,gain_pct_of_comparable,loss_pct_of_comparable,mean_unweighted,mean_pop_weighted
Gdańsk,250,school,2601,2153,448,345,465,1343,16.0,21.6,-0.123,-0.182
Gdańsk,250,pharmacy,2601,1974,627,493,495,986,25.0,25.1,0.006,0.071
Gdańsk,250,university,2601,735,1866,183,118,434,24.9,16.1,0.376,0.447
Gdańsk,250,mall,2601,1488,1113,260,203,1025,17.5,13.6,0.063,0.06
Gdańsk,250,net,2601,2198,403,650,635,913,29.6,28.9,0.054,0.155
Gdańsk,500,school,868,652,216,97,134,421,14.9,20.6,-0.144,-0.249
Gdańsk,500,pharmacy,868,588,280,141,147,300,24.0,25.0,-0.026,0.044
Gdańsk,500,university,868,191,677,41,31,119,21.5,16.2,0.257,0.394
Gdańsk,500,mall,868,424,444,83,58,283,19.6,13.7,0.061,0.011
Gdańsk,500,net,868,674,194,189,192,293,28.0,28.5,-0.05,-0.017
Warszawa,500,school,2021,1853,168,693,382,778,37.4,20.6,0.717,1.483
Warszawa,500,pharmacy,2021,1813,208,779,360,674,43.0,19.9,0.912,1.642
Warszawa,500,university,2021,519,1502,132,105,282,25.4,20.2,0.179,0.196
Warszawa,500,mall,2021,1362,659,265,125,972,19.5,9.2,0.156,0.246
Warszawa,500,net,2021,1904,117,884,438,582,46.4,23.0,1.726,3.449
Poznań,250,school,2933,2605,328,776,440,1389,29.8,16.9,0.484,1.066
Poznań,250,pharmacy,2933,2641,292,890,585,1166,33.7,22.2,0.646,1.433
Poznań,250,university,2933,1144,1789,223,119,802,19.5,10.4,0.142,0.144
Poznań,250,mall,2933,1728,1205,359,169,1200,20.8,9.8,0.162,0.286
Poznań,250,net,2933,2709,224,1021,678,1010,37.7,25.0,1.259,2.843
Poznań,500,school,970,811,159,218,124,469,26.9,15.3,0.411,0.966
Poznań,500,pharmacy,970,829,141,258,160,411,31.1,19.3,0.587,1.338
Poznań,500,university,970,318,652,59,43,216,18.6,13.5,0.063,0.124
Poznań,500,mall,970,513,457,101,43,369,19.7,8.4,0.179,0.299
Poznań,500,net,970,855,115,295,201,359,34.5,23.5,1.09,2.642
Kraków,250,school,4286,3724,562,346,595,2783,9.3,16.0,-0.155,-0.195
Kraków,250,pharmacy,4286,3409,877,363,721,2325,10.6,21.1,-0.255,-0.351
Kraków,250,university,4286,1511,2775,165,349,997,10.9,23.1,-0.315,-0.295
Kraków,250,mall,4286,2284,2002,55,184,2045,2.4,8.1,-0.071,-0.081
Kraków,250,net,4286,3850,436,463,963,2424,12.0,25.0,-0.541,-0.811
Kraków,500,school,1344,1094,250,83,153,858,7.6,14.0,-0.13,-0.261
Kraków,500,pharmacy,1344,993,351,102,194,697,10.3,19.5,-0.241,-0.382
Kraków,500,university,1344,409,935,53,83,273,13.0,20.3,-0.289,-0.329
Kraków,500,mall,1344,631,713,20,46,565,3.2,7.3,-0.055,-0.102
Kraków,500,net,1344,1143,201,119,250,774,10.4,21.9,-0.467,-0.947
Szczecin,250,school,1756,1466,290,480,202,784,32.7,13.8,0.503,0.769
Szczecin,250,pharmacy,1756,1535,221,563,261,711,36.7,17.0,0.575,1.019
Szczecin,250,university,1756,690,1066,240,73,377,34.8,10.6,0.597,0.778
Szczecin,250,mall,1756,1157,599,204,111,842,17.6,9.6,0.101,0.161
Szczecin,250,net,1756,1615,141,678,279,658,42.0,17.3,1.331,2.448
Szczecin,500,school,619,486,133,149,65,272,30.7,13.4,0.42,0.67
Szczecin,500,pharmacy,619,502,117,167,67,268,33.3,13.3,0.56,0.878
Szczecin,500,university,619,205,414,75,28,102,36.6,13.7,0.649,0.568
Szczecin,500,mall,619,356,263,66,36,254,18.5,10.1,0.104,0.176
Szczecin,500,net,619,540,79,201,94,245,37.2,17.4,1.213,2.074
Łódź,250,school,4101,3211,890,704,690,1817,21.9,21.5,-0.031,-0.122
Łódź,250,pharmacy,4101,3220,881,895,705,1620,27.8,21.9,0.071,-0.085
Łódź,250,university,4101,1035,3066,251,237,547,24.3,22.9,0.096,0.008
Łódź,250,mall,4101,1942,2159,174,255,1513,9.0,13.1,-0.089,-0.113
Łódź,250,net,4101,3416,685,1044,872,1500,30.6,25.5,0.017,-0.3
Łódź,500,school,1273,926,347,212,174,540,22.9,18.8,0.013,0.071
Łódź,500,pharmacy,1273,906,367,267,191,448,29.5,21.1,0.178,0.159
Łódź,500,university,1273,279,994,59,61,159,21.1,21.9,0.011,-0.016
Łódź,500,mall,1273,530,743,34,60,436,6.4,11.3,-0.087,-0.097
Łódź,500,net,1273,998,275,293,236,469,29.4,23.6,0.13,0.135
