hex_id,population,single_par,income_idx,hh_single,hh_size,osiedle
0,1592.54,15.5406,3124.9,20.5459,2.715,Bałuty Zachodnie
1,87.4,19.2,3124.9,10.8,2.95,
2,13.23,14.3,3056.4,10.3,3.0,
3,94.44,15.2217,3056.4,16.6598,2.9816,Bałuty Zachodnie
4,280.5,16.1941,3081.4331,17.1567,3.0263,Bałuty Zachodnie
5,417.04,18.4339,3090.3969,11.3979,3.0951,Bałuty Zachodnie
6,18.56,19.2,3124.9,10.8,2.95,
7,101.6,12.5,3102.4,16.7,3.05,Złotno
8,106.48,12.9391,3092.1244,16.6561,3.0456,
9,104.96,14.5,3055.6,16.5,3.03,
10,44.29,25.0,3020.4,5.9,3.74,Lublinek-Pienista
11,19.8,21.7282,3020.4,10.4608,3.6805,Lublinek-Pienista
12,10.97,16.6257,2992.8634,9.9248,3.6109,
13,0.26,14.3,3056.4,10.3,3.0,
14,42.8,15.5414,3056.4,9.6563,3.2805,Bałuty Zachodnie
15,84.04,14.976,3056.4,10.1959,3.1445,Bałuty Zachodnie
16,314.55,14.3277,3056.4,17.314,3.0631,Bałuty Zachodnie
17,604.61,20.7211,3056.4,19.2582,2.9569,Bałuty Zachodnie
18,497.04,14.8207,3056.4,14.3413,3.1372,Bałuty Zachodnie
19,301.14,23.7133,3102.4,16.1264,2.9568,
20,269.0,12.2221,3098.8099,16.2325,3.0695,Złotno
21,270.07,15.7847,3056.0557,16.2738,3.1163,Złotno
22,58.27,16.4753,3055.6,14.4515,3.4251,
23,31.55,25.0,3020.4,5.9,3.74,
24,81.42,23.7426,3020.4,7.6527,3.7171,Lublinek-Pienista
25,170.12,15.2258,3018.9596,14.2135,3.2472,Lublinek-Pienista
26,63.23,16.7,2991.5,9.7,3.63,Nad Nerem
27,32.68,16.7,2991.5,9.7,3.63,
28,0.89,16.7,2991.5,9.7,3.63,
29,20.18,17.0,3056.4,8.9,3.61,
30,72.27,17.0,3056.4,8.9,3.61,Bałuty Zachodnie
31,123.42,17.4077,3051.1659,11.9645,3.275,Bałuty Zachodnie
32,1097.73,16.881,3055.1956,15.4278,3.0372,Bałuty Zachodnie
33,2140.41,23.7737,3051.5318,22.0382,2.666,Bałuty Zachodnie
34,2741.37,18.7317,3054.1015,18.3977,2.7754,Teofilów-Wielkopolska
35,1016.9,13.1137,3102.4,19.2762,2.7126,Złotno
36,299.81,13.959,3086.0844,15.1729,3.1746,Złotno
