id,lon,lat
0,19.3178019,51.8088649
1,19.3240683,51.8065993
2,19.3240361,51.8021024
3,19.3303670,51.8088303
4,19.3303341,51.8043334
5,19.3303013,51.7998365
6,19.3302684,51.7953396
7,19.3367333,51.8200547
8,19.3366998,51.8155578
9,19.3366663,51.8110609
10,19.3366328,51.8065640
11,19.3365993,51.8020671
12,19.3365658,51.7975702
13,19.3364654,51.7840795
14,19.3364320,51.7795825
15,19.3363651,51.7705887
16,19.3363317,51.7660918
17,19.3361313,51.7391101
18,19.3360980,51.7346132
19,19.3360646,51.7301162
20,19.3360313,51.7256192
21,19.3431028,51.8312787
22,19.3430687,51.8267819
23,19.3430345,51.8222850
24,19.3430004,51.8177881
25,19.3429662,51.8132912
26,19.3429321,51.8087943
27,19.3428980,51.8042974
28,19.3428639,51.7998005
29,19.3427616,51.7863098
30,19.3427275,51.7818129
31,19.3426934,51.7773160
32,19.3426594,51.7728190
33,19.3426253,51.7683221
34,19.3425913,51.7638252
35,19.3424212,51.7413405
36,19.3423872,51.7368435
37,19.3423532,51.7323466
38,19.3423193,51.7278496
39,19.3422853,51.7233527
40,19.3422513,51.7188557
41,19.3494407,51.8380055
42,19.3494059,51.8335087
43,19.3493711,51.8290118
44,19.3493363,51.8245149
45,19.3493015,51.8200180
46,19.3492668,51.8155211
47,19.3492320,51.8110243
48,19.3491973,51.8065274
49,19.3491625,51.8020305
50,19.3491278,51.7975336
51,19.3490931,51.7930367
52,19.3490583,51.7885398
53,19.3490236,51.7840429
54,19.3489889,51.7795459
55,19.3489543,51.7750490
56,19.3489196,51.7705521
57,19.3488849,51.7660552
58,19.3488502,51.7615583
59,19.3486771,51.7390736
60,19.3486425,51.7345766
61,19.3486079,51.7300797
62,19.3485733,51.7255827
63,19.3485387,51.7210858
64,19.3485041,51.7165888
65,19.3484696,51.7120918
66,19.3484350,51.7075949
67,19.3557096,51.8357383
68,19.3556742,51.8312414
69,19.3556387,51.8267445
70,19.3556033,51.8222476
71,19.3555679,51.8177508
72,19.3555325,51.8132539
73,19.3554972,51.8087570
74,19.3554618,51.8042601
75,19.3554264,51.7997632
76,19.3553911,51.7952663
77,19.3553557,51.7907694
78,19.3553204,51.7862725
79,19.3552851,51.7817756
80,19.3552498,51.7772787
81,19.3552144,51.7727818
82,19.3551791,51.7682848
83,19.3551439,51.7637879
84,19.3551086,51.7592910
85,19.3549675,51.7413033
86,19.3549323,51.7368063
87,19.3548971,51.7323094
88,19.3548619,51.7278124
89,19.3548267,51.7233155
90,19.3547915,51.7188185
91,19.3547563,51.7143216
92,19.3547211,51.7098246
93,19.3546859,51.7053276
94,19.3546508,51.7008306
95,19.3620139,51.8379675
96,19.3619778,51.8334707
97,19.3619418,51.8289738
98,19.3619058,51.8244769
99,19.3618697,51.8199800
100,19.3618337,51.8154832
101,19.3617977,51.8109863
102,19.3617617,51.8064894
103,19.3617257,51.8019925
104,19.3616897,51.7974956
105,19.3616537,51.7929987
106,19.3616178,51.7885018
107,19.3615818,51.7840049
108,19.3615459,51.7795080
109,19.3615099,51.7750111
110,19.3614740,51.7705142
