id,lon,lat
0,19.3177861,51.8066164
1,19.3240844,51.8088478
2,19.3240522,51.8043508
3,19.3240200,51.7998539
4,19.3303506,51.8065818
5,19.3303177,51.8020849
6,19.3302848,51.7975880
7,19.3367501,51.8223031
8,19.3367166,51.8178062
9,19.3366831,51.8133094
10,19.3366496,51.8088125
11,19.3366161,51.8043156
12,19.3365826,51.7998187
13,19.3365491,51.7953217
14,19.3364822,51.7863279
15,19.3364487,51.7818310
16,19.3363818,51.7728372
17,19.3363484,51.7683402
18,19.3360813,51.7323647
19,19.3360479,51.7278677
20,19.3360146,51.7233708
21,19.3430858,51.8290303
22,19.3430516,51.8245334
23,19.3430174,51.8200365
24,19.3429833,51.8155396
25,19.3429492,51.8110427
26,19.3429150,51.8065459
27,19.3428809,51.8020490
28,19.3428468,51.7975521
29,19.3427445,51.7840613
30,19.3427105,51.7795644
31,19.3426764,51.7750675
32,19.3426423,51.7705706
33,19.3426083,51.7660736
34,19.3424042,51.7390920
35,19.3423702,51.7345951
36,19.3423362,51.7300981
37,19.3423023,51.7256011
38,19.3422683,51.7211042
39,19.3422344,51.7166072
40,19.3494581,51.8402540
41,19.3494233,51.8357571
42,19.3493885,51.8312602
43,19.3493537,51.8267634
44,19.3493189,51.8222665
45,19.3492842,51.8177696
46,19.3492494,51.8132727
47,19.3492146,51.8087758
48,19.3491799,51.8042789
49,19.3491451,51.7997820
50,19.3491104,51.7952851
51,19.3490410,51.7862913
52,19.3490063,51.7817944
53,19.3489716,51.7772975
54,19.3489369,51.7728006
55,19.3489022,51.7683036
56,19.3488676,51.7638067
57,19.3486944,51.7413220
58,19.3486598,51.7368251
59,19.3486252,51.7323281
60,19.3485906,51.7278312
61,19.3485560,51.7233342
62,19.3485214,51.7188373
63,19.3484868,51.7143403
64,19.3484523,51.7098433
65,19.3557273,51.8379867
66,19.3556919,51.8334898
67,19.3556565,51.8289930
68,19.3556210,51.8244961
69,19.3555856,51.8199992
70,19.3555502,51.8155023
71,19.3555149,51.8110054
72,19.3554795,51.8065085
73,19.3554441,51.8020117
74,19.3554088,51.7975148
75,19.3553734,51.7930179
76,19.3553381,51.7885210
77,19.3553027,51.7840240
78,19.3552674,51.7795271
79,19.3552321,51.7750302
80,19.3551968,51.7705333
81,19.3551615,51.7660364
82,19.3551262,51.7615395
83,19.3550909,51.7570425
84,19.3549852,51.7435517
85,19.3549499,51.7390548
86,19.3549147,51.7345578
87,19.3548795,51.7300609
88,19.3548443,51.7255639
89,19.3548091,51.7210670
90,19.3547739,51.7165700
91,19.3547387,51.7120731
92,19.3547035,51.7075761
93,19.3546683,51.7030791
94,19.3619959,51.8357191
95,19.3619598,51.8312222
96,19.3619238,51.8267253
97,19.3618877,51.8222285
98,19.3618517,51.8177316
99,19.3618157,51.8132347
100,19.3617797,51.8087378
101,19.3617437,51.8042409
102,19.3617077,51.7997441
103,19.3616717,51.7952472
104,19.3616358,51.7907503
105,19.3615998,51.7862534
106,19.3615638,51.7817565
107,19.3615279,51.7772595
108,19.3614920,51.7727626
109,19.3614560,51.7682657
110,19.3614201,51.7637688
111,19.3613842,51.7592719
112,19.3612407,51.7412841
113,19.3612049,51.7367872
114,19.3611690,51.7322903
115,19.3611332,51.7277933
116,19.3610973,51.7232964
117,19.3610615,51.7187994
118,19.3610257,51.7143025
119,19.3609899,51.7098055
120,19.3609541,51.7053085
121,19.3609183,51.7008116
122,19.3683005,51.8379480
123,19.3682638,51.8334511
124,19.3682271,51.8289543
125,19.3681905,51.8244574
126,19.3681538,51.8199605
127,19.3681172,51.8154637
128,19.3680805,51.8109668
129,19.3680439,51.8064699
130,19.3680073,51.8019730
131,19.3679707,51.7974761
