hex_id,population,single_par,income_idx,hh_single,hh_size,osiedle
0,23.83,17.5549,3124.9,21.3116,2.5875,
1,1041.6,15.8775,3124.9,20.3711,2.6761,
2,393.08,14.1406,3124.9,20.6921,2.7985,
3,1.23,19.2,3124.9,10.8,2.95,
4,81.83,15.6557,3124.9,25.5681,2.7334,Bałuty Zachodnie
5,74.1,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
6,50.49,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
7,0.79,15.3,3056.4,17.2,2.98,
8,24.71,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
9,11.09,15.4976,3101.5158,22.8642,2.8153,
10,65.81,15.6,3124.9,25.8,2.73,Bałuty Zachodnie
11,93.22,17.5842,3124.9,17.5323,2.8513,Bałuty Zachodnie
12,86.53,19.2,3124.9,10.8,2.95,Bałuty Zachodnie
13,23.22,19.2,3124.9,10.8,2.95,
14,0.65,12.5,3102.4,16.7,3.05,
15,27.59,12.5,3102.4,16.7,3.05,Złotno
16,1.52,12.6131,3099.7542,16.6887,3.0489,
17,15.93,14.5,3055.6,16.5,3.03,
18,2.89,21.7,3020.4,10.5,3.68,
19,2.43,21.7,3020.4,10.5,3.68,
20,0.02,21.7,3020.4,10.5,3.68,
21,7.6,14.3,3056.4,10.3,3.0,
22,8.51,14.3,3056.4,10.3,3.0,
23,37.57,15.2135,3056.4,16.6035,2.9817,Bałuty Zachodnie
24,47.83,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
25,108.02,16.1769,3072.0095,15.5224,3.0885,Bałuty Zachodnie
26,150.06,18.0768,3065.3453,11.1561,3.2097,Bałuty Zachodnie
27,134.18,18.2905,3066.3966,8.8002,3.2473,Bałuty Zachodnie
28,25.64,18.1834,3061.5922,8.5819,3.2735,
29,42.28,12.5,3102.4,16.7,3.05,Złotno
30,47.01,12.5,3102.4,16.7,3.05,Złotno
31,48.81,12.5543,3101.1291,16.6946,3.0495,Złotno
32,79.99,14.1328,3064.1919,16.5367,3.0337,Złotno
33,41.84,14.5,3055.6,16.5,3.03,
34,29.69,25.0,3020.4,5.9,3.74,Lublinek-Pienista
35,16.05,24.446,3020.4,6.6723,3.7299,
36,9.49,21.7,3020.4,10.5,3.68,Lublinek-Pienista
37,1.14,20.8037,3020.4,11.0404,3.618,
38,5.29,16.7,2991.5,9.7,3.63,
39,3.97,16.7,2991.5,9.7,3.63,
40,0.25,14.3,3056.4,10.3,3.0,
41,5.74,14.3,3056.4,10.3,3.0,
42,7.13,14.3,3056.4,10.3,3.0,
43,21.53,14.3,3056.4,10.3,3.0,Bałuty Zachodnie
44,23.35,14.4236,3056.4,11.153,2.9975,Bałuty Zachodnie
45,58.64,15.3,3056.4,17.2,2.98,Bałuty Zachodnie
46,87.75,14.066,3056.4,17.3763,3.0858,Bałuty Zachodnie
47,148.28,18.0083,3056.4,17.4388,3.0892,Bałuty Zachodnie
48,175.55,23.2227,3056.4,18.3638,2.985,Bałuty Zachodnie
49,153.35,16.2078,3056.4,11.3474,3.2345,Bałuty Zachodnie
50,56.56,16.6637,3056.4,10.6373,3.2503,
51,42.77,23.4585,3102.4,16.3654,2.9831,
52,60.6,12.5,3102.4,16.7,3.05,Złotno
53,64.14,12.7709,3096.062,16.6729,3.0473,Złotno
54,85.48,14.3982,3057.9828,16.5102,3.031,Złotno
55,86.26,14.5176,3055.6,16.4818,3.0335,Złotno
56,19.41,14.6975,3055.6,16.2952,3.0695,
57,14.52,25.0,3020.4,5.9,3.74,
