id,lon,lat,srv_school,srv_pharmacy,srv_university,srv_mall
mp/11591119,19.4690166,51.7568509,1,0,0,0
mp/w88825592,19.4767229,51.7509886,1,0,0,0
mp/w101350371,19.5338952,51.7807166,1,0,0,0
mp/w101370836,19.4042791,51.7930724,1,0,0,0
mp/w102980572,19.4230176,51.8203276,1,0,0,0
mp/w103000058,19.4258228,51.8179113,1,0,0,0
mp/w103004822,19.4714959,51.7794312,1,0,0,0
mp/w103526304,19.4905946,51.7747733,1,0,0,0
mp/w105116071,19.4677165,51.7262183,1,0,0,0
mp/w106780763,19.4659973,51.7918671,1,0,0,0
mp/w112391229,19.3442850,51.6559605,1,0,0,0
mp/w112398657,19.3299815,51.6566390,1,0,0,0
mp/w119370159,19.3867154,51.6856522,1,0,0,0
mp/w124532736,19.4535135,51.7939992,1,0,0,0
mp/w124532756,19.4538189,51.7938000,1,0,0,0
mp/w128875646,19.3538330,51.6688040,1,0,0,0
mp/w129042860,19.6354136,51.8499596,1,0,0,0
mp/w132539793,19.4185750,51.6626866,1,0,0,0
mp/w132904774,19.2870417,51.6441711,1,0,0,0
mp/w132954939,19.4318694,51.7158836,1,0,0,0
mp/w135762660,19.4851996,51.7662469,1,0,0,0
mp/w149827958,19.3761409,51.6628113,1,0,0,0
mp/w165776817,19.3304210,51.6595474,1,0,0,0
mp/w165786001,19.3478392,51.6664247,1,0,0,0
mp/w165840089,19.3559868,51.6705237,1,0,0,0
mp/w165840191,19.3563275,51.6698213,1,0,0,0
mp/w171449120,19.3884483,51.7472024,1,0,0,0
mp/w171561195,19.4408055,51.7004698,1,0,0,0
mp/w172170169,19.4440514,51.7306103,1,0,0,0
mp/w173690470,19.3874452,51.7946688,1,0,0,0
mp/w174542160,19.4547579,51.8038977,1,0,0,0
mp/w174638544,19.4401549,51.7801847,1,0,0,0
mp/w175758281,19.5602689,51.7415775,1,0,0,0
mp/w176868455,19.2937731,51.6787337,1,0,0,0
mp/w176877430,19.4029337,51.7641343,1,0,0,0
mp/w177295103,19.4255486,51.7047217,1,0,0,0
mp/w178200747,19.5453023,51.7109217,1,0,0,0
mp/w178283860,19.4635248,51.7637288,1,0,0,0
mp/w178288921,19.4662842,51.7281810,1,0,0,0
mp/w178479599,19.4238498,51.7520027,1,0,0,0
mp/w179581625,19.3225649,51.7908931,1,0,0,0
mp/w188086606,19.4463871,51.7554174,1,0,0,0
mp/w201543322,19.2176062,51.7702450,1,0,0,0
mp/w209291088,19.3788203,51.6550708,1,0,0,0
mp/w222695306,19.3848227,51.7795459,1,0,0,0
mp/w238370464,19.3881864,51.7474756,1,0,0,0
mp/w243109153,19.4514720,51.7735747,1,0,0,0
mp/w255614305,19.4423843,51.7633895,1,0,0,0
