route_id,line,trips,length_km,stops,veh_km,peak_departures_per_h,pop_500m,pop_exclusive,stops_exclusive,inner_kmh,outer_kmh,centre_slowdown_kmh,inner_spacing_m,outer_spacing_m,length_p75_km,meets_length,rank_pop,rank_veh_km,rank_slowdown,score
5,5,155,17.4,143,2542,8.0,203829,0,0,11.1,15.8,4.6,341,508,15.91,1,1,2,7,1.5
4,4,149,19.24,133,2066,8.0,196406,0,0,11.5,19.6,8.1,357,378,15.91,1,2,5,2,3.5
8,8,153,16.96,125,2473,8.0,175133,0,0,17.8,16.1,-1.7,445,528,15.91,1,4,3,14,3.5
10B,10B,200,16.69,80,3192,8.5,135104,0,0,18.1,23.8,5.7,470,475,15.91,1,8,1,5,4.5
9,9,144,16.46,101,1662,8.0,140332,7110,2,15.8,23.8,7.9,528,475,15.91,1,7,10,3,8.5
16,16,145,14.09,130,1863,8.0,187069,0,0,16.5,18.2,1.7,434,523,15.91,0,3,6,10,4.5
13,13,149,15.0,113,2160,8.0,156224,20483,5,16.8,18.1,1.3,445,555,15.91,0,6,4,11,5.0
6,6,146,12.94,119,1709,8.0,163373,6397,1,17.4,15.7,-1.7,417,451,15.91,0,5,9,15,7.0
12,12,149,12.9,93,1780,8.0,120677,3975,8,14.1,16.6,2.5,390,405,15.91,0,11,8,9,9.5
2,2,144,15.35,90,1505,8.0,129240,2969,5,13.8,18.2,4.4,375,500,15.91,0,9,11,8,10.0
15,15,152,12.93,78,1809,8.0,110072,0,0,13.0,12.8,-0.3,388,411,15.91,0,15,7,12,11.0
7,7,146,11.67,90,1293,8.0,128066,0,0,14.0,13.6,-0.4,393,466,15.91,0,10,15,13,12.5
11,11,146,14.74,86,1302,8.0,119196,0,0,13.8,19.8,6.0,375,375,15.91,0,12,14,4,13.0
45,45,130,13.1,65,1393,8.0,68701,0,9,12.6,21.3,8.7,348,382,15.91,0,19,13,1,16.0
10A,10A,95,12.21,65,1148,7.0,114119,0,0,18.1,23.8,5.6,449,462,15.91,0,14,18,6,16.0
41,41,103,15.0,61,1457,5.0,23878,3890,38,,22.1,,0,453,15.91,0,21,12,,16.5
1,1,143,11.96,87,1031,8.0,114501,14006,2,11.0,,,339,469,15.91,0,13,20,,16.5
14,14,143,8.98,55,1267,8.0,87389,7418,1,17.8,15.6,-2.2,459,339,15.91,0,18,16,17,17.0
Z1,Z1,146,12.52,74,1037,8.0,103343,32784,17,12.7,10.7,-2.0,425,458,15.91,0,16,19,16,17.5
Z2,Z2,143,8.85,38,1227,8.0,56737,0,0,,18.3,,0,442,15.91,0,20,17,,18.5
3,3,140,7.19,55,776,8.0,87861,18585,8,13.8,,,375,375,15.91,0,17,21,,19.0
